Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
09-Feb-18,665.4,688.35,661,683.65,681.4067762,1148843,14119,782829405,229808,20,27.35,18.25
12-Feb-18,718,718,697.8,712.5,710.9208199,1335158,19154,949191620,464747,34.81,20.2,-5.5
14-Feb-18,718,720.6,705.25,708.35,711.0568202,1244926,6892,885213123,770922,61.93,15.35,-9.65
15-Feb-18,711.8,718.4,696.05,699.85,707.4614695,555352,7273,392890142,135898,24.47,22.35,-11.95
16-Feb-18,705.4,709.35,683.85,688.3,695.750632,447367,6883,311255873,93884,20.99,25.5,-17.1
19-Feb-18,690.8,692,639,648.25,654.3768696,1296260,17100,848242561,254368,19.62,53,-42.55
20-Feb-18,654,661.35,648.2,650.75,654.735059,654844,9357,428749325,105290,16.08,13.15,-3.25
21-Feb-18,655.4,655.4,633,640.55,640.9557994,698248,10310,447546105,139272,19.95,22.4,-14.85
22-Feb-18,639.9,647.5,634,637.85,641.0967698,514675,7185,329956480,95775,18.61,13.5,-2.05
23-Feb-18,640.1,684.35,640,677.8,669.2300996,1415713,22532,947437752,314137,22.19,44.35,37.7
26-Feb-18,678.7,692,672.55,680.25,681.8763993,769146,8948,524462505,269825,35.08,19.45,1.55
27-Feb-18,683,686.75,670.1,671.85,679.2852498,655450,10054,445237517,258801,39.48,16.65,-11.15
28-Feb-18,666.5,674.8,660.45,671.7,668.6962859,432433,8186,289166341,99352,22.98,14.35,5.2
01-Mar-18,671,684.8,670.7,675.3,677.1744133,353207,5819,239182743,60546,17.14,14.1,4.3
05-Mar-18,668.55,669,652.05,655.35,658.1158528,785954,23299,517248787,305416,38.86,16.95,-13.2
06-Mar-18,662.95,673.5,657.2,660.5,666.3427586,898574,18425,598758278,410307,45.66,16.3,-2.45
07-Mar-18,655.1,661.05,645.2,648,651.0841534,728907,18577,474579797,229304,31.46,15.85,-7.1
08-Mar-18,654.55,660.4,632.4,635.2,640.8490849,621853,7008,398513926,152336,24.5,28,-19.35
09-Mar-18,640.1,646.45,601,605.6,617.7246665,1228986,15209,759174967,216657,17.63,45.45,-34.5
12-Mar-18,615,626,606.6,622.7,615.9487851,1110106,13369,683768442,395394,35.62,19.4,7.7
13-Mar-18,621,632.2,614.4,628.3,626.3887108,1575104,10309,986627364,540306,34.3,17.8,7.3
14-Mar-18,624.8,630.3,618.4,620.45,623.2231869,829614,6813,517034681,304906,36.75,11.9,-4.35
15-Mar-18,620.9,622.4,609.6,611.4,613.7525478,819447,6831,502937684,334175,40.78,12.8,-9.5
16-Mar-18,612,614,594.45,600.5,602.0375041,969280,10636,583542912,315708,32.57,19.55,-11.5
19-Mar-18,602,602,573.1,575.05,581.7314701,1040011,10942,605007128,389166,37.42,28.9,-26.95
20-Mar-18,572.5,601.2,568.55,593.3,591.5867427,1376082,13266,814071868,383338,27.86,32.65,20.8
21-Mar-18,597.3,602.25,581.1,582.35,589.3778314,758190,7537,446860378,163966,21.63,21.15,-14.95
22-Mar-18,582.9,587.5,572.3,580.55,578.7275726,1026343,11459,593972993,247952,24.16,15.2,-2.35
23-Mar-18,561,569.25,554.1,566.6,562.380263,942198,12569,529873559,123299,13.09,15.15,5.6
26-Mar-18,567.35,588.7,561.35,582.45,571.7888713,675460,8270,386220511,127173,18.83,27.35,15.1
27-Mar-18,590,598.85,587.8,590.05,592.8130054,555877,12626,329531115,95636,17.2,11.05,0.05
28-Mar-18,580.6,583.75,565.5,570.9,571.9373393,642572,10617,367510920,155225,24.16,18.25,-9.7
02-Apr-18,574.95,580.2,568.9,578.55,575.9965277,525873,9618,302901022,153949,29.27,11.3,3.6
03-Apr-18,575,585.45,569,579.5,577.5336421,844122,9307,487508853,257611,30.52,16.45,4.5
04-Apr-18,582.55,589.9,558,560.45,577.1454685,1114867,15789,643440437,565795,50.75,31.9,-22.1
05-Apr-18,572.35,583,569.55,581,578.0948043,636353,11799,367872363,141075,22.17,13.45,8.65
06-Apr-18,576,589.05,573,586.35,581.2612713,466182,6089,270973542,53788,11.54,16.05,10.35
09-Apr-18,588.75,595,584,586.55,588.8004193,478889,6263,281970044,56195,11.73,11,-2.2
10-Apr-18,591.35,603.9,591.35,601.7,599.0242772,612509,8661,366907761,100130,16.35,12.55,10.35
11-Apr-18,609,610,600.5,607.7,606.253152,514667,6893,312018491,58912,11.45,9.5,-1.3
12-Apr-18,606.7,608.5,596,598.55,602.4469554,283733,3862,170934082,40327,14.21,12.5,-8.15
13-Apr-18,599,604.8,592,595.3,597.8064571,453641,5796,271189519,52648,11.61,12.8,-3.7
16-Apr-18,592.8,596.5,585.6,592.4,590.93626,309131,3928,182676717,25640,8.29,10.9,-0.4
17-Apr-18,594.5,604.6,592.55,595.85,598.2135563,404432,5145,241936705,28978,7.17,12.05,1.35
18-Apr-18,600.5,604.7,594.9,601.5,599.66187,260734,3433,156352238,35659,13.68,9.8,1
19-Apr-18,609.7,623.9,606,620.55,617.90681,682670,9524,421826442,99353,14.55,17.9,10.85
20-Apr-18,619.95,619.95,603.8,606.35,607.995888,452581,6923,275167387,71217,15.74,16.15,-13.6
23-Apr-18,608,610.4,600.5,605.7,605.8971476,242075,4688,146672552,34372,14.2,9.9,-2.3
24-Apr-18,595,602.1,590.35,598.25,595.9173201,345126,5103,205666561,36501,10.58,11.75,3.25
25-Apr-18,596.6,598.25,585,586.2,589.7149416,262441,8299,154765379,63759,24.29,13.25,-10.4
26-Apr-18,587,591.5,578,579.05,581.730777,380079,4877,221103652,181625,47.79,13.5,-7.95
27-Apr-18,580.95,594.3,580.95,589.65,588.7845058,298602,3895,175812231,40168,13.45,13.35,8.7
30-Apr-18,589,599.6,586.15,594.7,594.9744148,258118,3543,153573606,27885,10.8,13.45,5.7
02-May-18,596.7,596.7,573.35,575.05,582.52335,290878,4646,169443227,88840,30.54,23.35,-21.65
03-May-18,574.8,588,568.5,585.65,577.6068088,395225,5501,228284651,55052,13.93,19.5,10.85
04-May-18,586.05,589.45,579.85,581.3,583.8853548,225609,3717,131729791,25551,11.33,9.6,-4.75
07-May-18,585.55,597.3,581.55,595.95,591.6036065,340717,5675,201569406,66809,19.61,15.75,10.4
08-May-18,598,603.75,590.5,596.15,596.6201626,338587,4182,202007831,40680,12.01,13.25,-1.85
09-May-18,592.55,607.85,592.55,602.45,603.3129835,402919,5063,243086264,58718,14.57,15.3,9.9
10-May-18,603.85,607,591.25,593.75,596.5949516,233898,3539,139542366,32943,14.08,15.75,-10.1
11-May-18,600,610.5,591,606.65,604.206237,455985,5847,275508981,71307,15.64,19.5,6.65
14-May-18,606.55,614.35,602.1,610.1,610.1881489,322585,4490,196837544,47873,14.84,12.25,3.55
15-May-18,609.3,636.3,606.3,624.05,625.4863223,1785170,13653,1116599418,885149,49.58,30,14.75
16-May-18,627,632.5,617.2,622.05,624.0113109,569273,7583,355232791,56816,9.98,15.3,-4.95
17-May-18,630.7,632,602.4,610.05,610.7002321,1402932,13550,856770898,394046,28.09,29.6,-20.65
18-May-18,611.1,616.8,590.25,591.5,601.2235854,450253,9342,270702723,98132,21.79,26.55,-19.6
21-May-18,595.5,600.5,575.1,576.9,584.3065797,482713,6771,282052382,67444,13.97,25.4,-18.6
22-May-18,577.5,583.35,570.05,577.2,578.3317868,420719,5771,243315171,44105,10.48,13.3,-0.3
23-May-18,576.9,576.9,536.6,539.25,551.3063789,1211033,19008,667650218,349877,28.89,40.3,-37.65
24-May-18,543.05,553.85,537,548.4,547.1063771,759045,10256,415278360,141590,18.65,16.85,5.35
25-May-18,551.5,570.2,551.5,567.2,563.7308087,617806,8444,348276276,110721,17.92,18.7,15.7
28-May-18,572.9,579.25,565.2,575.6,573.2910392,409206,5658,234594133,47888,11.7,14.05,2.7
29-May-18,571,587.85,569.2,575.25,578.7935383,471734,8771,273036591,75928,16.1,18.65,4.25
30-May-18,569.3,581.45,567.7,578.1,576.7060827,459864,6216,265206366,70250,15.28,13.75,8.8
31-May-18,582.55,590,572.1,575.45,577.7696066,370462,4663,214041684,68686,18.54,17.9,-7.1
01-Jun-18,570.9,579.2,556.55,560.35,566.4023715,480541,8505,272179562,76736,15.97,22.65,-10.55
04-Jun-18,564,571.95,560.6,566.95,566.5997015,533994,6932,302560841,80075,15,11.35,2.95
05-Jun-18,565.25,574,561,571.95,565.3304758,620811,5209,350963378,275449,44.37,13,6.7
06-Jun-18,573.5,581.25,569.05,579.7,576.5532561,298041,4483,171836509,56102,18.82,12.2,6.2
07-Jun-18,581.4,604.8,581.4,601.35,595.4473422,636497,8346,379000447,118376,18.6,23.4,19.95
08-Jun-18,597,607.55,592.6,599.5,599.683411,569666,6948,341619250,45798,8.04,14.95,2.5
11-Jun-18,599.55,605.4,586.25,588.75,595.5237694,415114,8074,247210254,120191,28.95,19.15,-10.8
12-Jun-18,587.95,588.4,577.55,579.8,582.3183565,531756,11848,309651280,103114,19.39,10.85,-8.15
13-Jun-18,579.8,584,566.2,567.5,571.4545741,620946,14175,354842432,158255,25.49,17.8,-12.3
14-Jun-18,567.1,574.35,561.75,569.4,569.0771278,408361,6189,232388905,64240,15.73,12.6,2.3
15-Jun-18,574,574.85,562,565.95,568.3221492,633902,7115,360260547,219924,34.69,12.85,-8.05
18-Jun-18,564,564.3,547.45,558.7,554.846934,828094,11686,459465417,100237,12.1,16.85,-5.3
19-Jun-18,558,565.45,550,554.85,556.4253953,696672,7987,387645993,57197,8.21,15.45,-3.15
20-Jun-18,557.5,566.8,553.3,563.3,559.0268802,504125,6822,281819426,179979,35.7,13.5,5.8
21-Jun-18,569,569,556.2,558.2,562.545687,556603,6140,313114617,126437,22.72,12.8,-10.8
22-Jun-18,560.2,564.45,556.4,560.45,560.3377187,1386814,5144,777084193,1051112,75.79,8.05,0.25
25-Jun-18,560,564.6,556,558.5,560.8034369,270534,3780,151716397,47039,17.39,8.6,-1.5
26-Jun-18,558.9,560,538.35,549.35,548.2026109,783882,10003,429726159,156811,20,21.65,-9.55
27-Jun-18,550,552.85,539.25,543.25,543.6232228,611847,5750,332614238,208996,34.16,13.6,-6.75
28-Jun-18,544,556.2,544,548.05,549.5410258,554968,7151,304977684,61384,11.06,12.2,4.05
29-Jun-18,552,569.85,551.7,567.85,563.5932248,689752,8713,388739554,140927,20.43,18.15,15.85
02-Jul-18,575.2,586.5,556.25,560.95,569.5416803,987804,13411,562595550,127254,12.88,30.25,-14.25
03-Jul-18,561.05,572.35,554,566.5,564.4903523,662179,8346,373793657,42096,6.36,18.35,5.45
04-Jul-18,567,572.95,560.1,568.9,568.2112783,986798,6599,560709753,533809,54.1,12.85,1.9
05-Jul-18,565,565,551.75,553.5,557.7154263,542949,7173,302811033,129355,23.82,13.25,-11.5
06-Jul-18,557.4,564,547.05,554.15,556.7702755,436980,5689,243297475,44499,10.18,16.95,-3.25
09-Jul-18,564.25,565.8,555.7,556.85,559.8263273,423204,5997,236920741,68477,16.18,10.1,-7.4
10-Jul-18,558.05,570.8,557.3,568.6,566.2975107,719490,9444,407445396,119895,16.66,13.5,10.55
11-Jul-18,566.4,566.4,554.4,555.85,559.1643913,404766,5632,226330734,79901,19.74,12,-10.55
12-Jul-18,559.15,567.95,554.35,556.3,560.5851259,555853,6947,311602924,102690,18.47,13.6,-2.85
13-Jul-18,559.5,561.85,553.05,558.15,557.3402439,470245,5895,262086463,64970,13.82,8.8,-1.35
16-Jul-18,558.3,559.35,516.25,519.3,534.1338865,1131212,17899,604218662,338296,29.91,43.1,-39
17-Jul-18,521.7,535.65,512.55,532.5,527.4022025,680866,9080,359090228,85120,12.5,23.1,10.8
18-Jul-18,537.7,537.7,501.15,504.7,510.9247268,1210431,16518,618439128,262744,21.71,36.55,-33
19-Jul-18,509.15,513.25,493.5,499.75,504.5642346,1557845,16924,786032870,401929,25.8,19.75,-9.4
20-Jul-18,499.3,505.85,495.45,503.45,501.3559547,504508,7221,252938090,57279,11.35,10.4,4.15
23-Jul-18,505.25,519.45,498.7,516.85,509.5770391,526356,7228,268218932,86979,16.52,20.75,11.6
24-Jul-18,517.4,529,517.3,526.7,524.8135889,507298,7311,266236884,78783,15.53,11.7,9.3
25-Jul-18,529.75,536.4,529.2,534.55,533.4035044,452176,6156,241192263,62359,13.79,7.2,4.8
26-Jul-18,536,539.9,531.5,534.95,536.0062673,296780,4159,159075940,41093,13.85,8.4,-1.05
27-Jul-18,535.2,553.6,535.2,549.45,546.8598058,569232,7615,311290101,108789,19.11,18.4,14.25
30-Jul-18,551,558.3,548,552.6,553.028751,326389,4424,180502501,35119,10.76,10.3,1.6
31-Jul-18,553.9,564.5,543.4,562.85,553.8382895,493363,6307,273243320,95983,19.45,21.1,8.95
01-Aug-18,565,567.5,551.3,554.65,558.8922274,403507,5631,225516926,52001,12.89,16.2,-10.35
02-Aug-18,553.9,561.15,540.55,554.5,552.578535,696212,9533,384711807,137503,19.75,20.6,0.6
03-Aug-18,556.8,560.25,551.25,555.1,555.7726461,504491,6347,280382298,93069,18.45,9,-1.7
06-Aug-18,559.5,564.55,551,553.4,558.7762627,351220,6723,196253399,71706,20.42,13.55,-6.1
07-Aug-18,554.4,577,553.9,573.4,565.1834091,791155,9538,447147680,172949,21.86,23.1,19
08-Aug-18,578,583,574.1,577.65,578.7780459,702929,11073,406839873,117311,16.69,8.9,-0.35
09-Aug-18,580,587,576.25,585.1,583.0546691,435822,5836,254108052,75362,17.29,10.75,5.1
10-Aug-18,586,586.5,573.15,575.55,579.4191657,366268,4910,212222699,63548,17.35,13.35,-10.45
13-Aug-18,574.95,581.9,566.45,569.2,574.2381736,540442,7209,310342427,59258,10.96,15.45,-5.75
14-Aug-18,584,587,562.45,578.9,574.1168463,2062590,24572,1184167666,549652,26.65,24.55,-5.1
16-Aug-18,570,576.8,564,568.1,570.7658877,502447,6945,286779608,61022,12.14,12.8,-1.9
17-Aug-18,571.2,585.1,571,580.6,581.2675931,711842,13413,413770686,167365,23.51,14.1,9.4
20-Aug-18,584.25,601.6,583.2,599.4,594.0028965,774049,14906,459787348,173147,22.37,18.4,15.15
21-Aug-18,602,603.5,580.15,582.25,588.7199535,813190,9674,478741179,152992,18.81,23.35,-19.75
23-Aug-18,585.9,586,570.3,571.5,575.0630833,508455,6448,292393700,92163,18.13,15.7,-14.4
24-Aug-18,570.5,579,568,575.45,575.276008,398503,5703,229249215,68828,17.27,11,4.95
27-Aug-18,581,586.8,579.05,581.05,583.0969322,379822,5323,221473043,74383,19.58,7.75,0.05
28-Aug-18,582,593,578.25,589.35,586.6050923,613751,7805,360029462,72509,11.81,14.75,7.35
29-Aug-18,591,602.8,585.6,594.05,597.4099919,1348873,11281,805830208,608099,45.08,17.2,3.05
30-Aug-18,593.7,610,590.7,608.3,604.9184571,732633,11080,443183224,148921,20.33,19.3,14.6
31-Aug-18,609,614.3,600,601.65,606.5392068,561356,7179,340484423,59974,10.68,14.3,-7.35
03-Sep-18,602,610,598.25,600.5,604.8610653,391306,4819,236685764,63514,16.23,11.75,-1.5
04-Sep-18,603,604.6,591.05,593.05,596.4936239,380640,4704,227049333,44427,11.67,13.55,-9.95
05-Sep-18,589.9,597.25,581.25,593.9,590.468631,553843,6866,327026918,77212,13.94,16,4
06-Sep-18,598.7,607.3,594.2,600.45,601.8788216,432247,6376,260160315,49761,11.51,13.1,1.75
07-Sep-18,602,621,597.3,619,612.8413557,981485,11900,601494598,191156,19.48,23.7,17
10-Sep-18,620,625.9,611.45,613.5,617.2203662,470594,6960,290460201,49048,10.42,14.45,-6.5
11-Sep-18,615.95,617.15,589.1,592.3,604.6786139,443924,6786,268431349,66630,15.01,28.05,-23.65
12-Sep-18,593,606.85,583.35,605.5,595.0378962,669883,8057,398605771,99483,14.85,23.5,12.5
14-Sep-18,609.1,620,609.1,615.35,616.067947,461492,6217,284310429,94452,20.47,10.9,6.25
17-Sep-18,611,624.1,606,615.65,617.5788489,635779,8002,392643663,85293,13.42,18.1,4.65
18-Sep-18,619,624.25,609.5,612.45,616.8022274,488010,6833,301005655,48914,10.02,14.75,-6.55
19-Sep-18,618,630.55,617.65,620.45,624.51,637753,9712,398283126,124366,19.5,12.9,2.45
21-Sep-18,630,646.7,585,624.55,623.6744583,1518085,26116,946790840,209632,13.81,61.7,-5.45
24-Sep-18,618.25,625.75,596.2,606.6,611.087522,855785,12963,522959535,129151,15.09,29.55,-11.65
25-Sep-18,609.1,609.6,574.5,599.95,593.0745207,876186,11542,519643592,137245,15.66,35.1,-9.15
26-Sep-18,605.65,614.25,598.75,609.05,607.8645652,612782,9284,372488464,78109,12.75,15.5,3.4
27-Sep-18,611.8,619.75,604.85,609.9,614.161919,472687,7719,290306355,68770,14.55,14.9,-1.9
28-Sep-18,613.4,613.4,575,580.35,587.4763953,832313,11619,488964241,131572,15.81,38.4,-33.05
01-Oct-18,583,585.45,557.9,583.5,573.0622921,489388,6634,280449809,49963,10.21,27.55,0.5
03-Oct-18,583.5,594.45,576.85,579.7,587.3515832,459783,6985,270054273,55453,12.06,17.6,-3.8
04-Oct-18,579.7,587.5,570,581.9,581.2534793,473155,6883,275022990,46665,9.86,17.5,2.2
05-Oct-18,581.9,586,561,569.55,571.6480568,1003321,6976,573546500,61029,6.08,25,-12.35
08-Oct-18,567.95,569.55,544.55,559.8,556.7262379,750177,9817,417643219,53134,7.08,25,-8.15
09-Oct-18,562.95,583,555.4,572.3,568.5597658,571364,7675,324854582,36288,6.35,27.6,9.35
10-Oct-18,574.9,586.6,574,583.05,580.4783066,421234,5310,244517199,39551,9.39,12.6,8.15
11-Oct-18,557.9,564.5,549.55,556.25,556.2513807,1296655,12534,721266134,447092,34.48,14.95,-1.65
12-Oct-18,560.7,577.4,560,574.95,570.3604224,340420,4985,194162095,59874,17.59,17.4,14.25
15-Oct-18,579.5,579.5,567.2,571,572.5355592,257191,3777,147250993,26663,10.37,12.3,-8.5
16-Oct-18,571.8,583.95,570,574.1,577.0922455,326802,4546,188594900,37009,11.32,13.95,2.3
17-Oct-18,579,579.7,552.05,554.65,565.3584297,381874,4985,215895685,65882,17.25,27.65,-24.35
19-Oct-18,550,562.3,545.4,553.6,554.5264299,1330253,8495,737660447,599484,45.07,16.9,3.6
22-Oct-18,557,562,543,544.95,549.2230712,458746,6254,251953887,54870,11.96,19,-12.05
23-Oct-18,539.25,549.4,535.3,546.1,542.6138536,354767,5184,192501489,60399,17.02,14.1,6.85
24-Oct-18,553.4,555,541.8,549.8,547.7926137,303453,3999,166229312,48225,15.89,13.2,-3.6
25-Oct-18,543,550.55,540,546.55,544.8111818,345454,4213,188207202,39239,11.36,10.55,3.55
26-Oct-18,548.2,561.6,541,551.1,552.5715333,623248,7476,344389103,59547,9.55,20.6,2.9
29-Oct-18,556.4,575,552.25,573.6,564.3400153,571786,7029,322681720,97860,17.11,22.75,17.2
30-Oct-18,572,573.4,563.6,565.1,567.149942,295701,3566,167706805,38733,13.1,9.8,-6.9
31-Oct-18,556.8,557.5,530.1,552.4,543.8166687,1108425,14146,602779991,90489,8.16,27.4,-4.4
01-Nov-18,556.95,563.4,554,556.65,558.1155537,339643,4491,189560041,38730,11.4,9.4,-0.3
02-Nov-18,563.7,582,561,573.75,571.9211828,2347724,9937,1342713087,1093141,46.56,21,10.05
05-Nov-18,573,583.9,567.45,578.2,577.6077864,430444,4655,248627806,23131,5.37,16.45,5.2
06-Nov-18,587,587,570.25,577,577.5650085,359384,4098,207567623,52985,14.74,16.75,-10
07-Nov-18,580.15,582,579.1,580.45,580.2231518,73031,1090,42374277,26943,36.89,2.9,0.3
09-Nov-18,580,580,569,573.3,573.0172484,330523,3862,189395380,38487,11.64,11,-6.7
12-Nov-18,573.95,589.8,572,582.9,584.400522,2509947,8788,1466814337,1779684,70.91,17.8,8.95
13-Nov-18,582.9,591.75,579.45,589.15,586.6720026,686109,7665,402520941,93150,13.58,12.3,6.25
14-Nov-18,606,610,585.05,588.95,600.1756694,1499299,20509,899842781,197197,13.15,24.95,-17.05
15-Nov-18,590.05,596.4,581.55,588.65,589.8020831,571068,6917,336817096,45722,8.01,14.85,-1.4
16-Nov-18,589.8,590.75,570.1,574.1,578.7452865,511987,7624,296310063,100232,19.58,20.65,-15.7
19-Nov-18,576.2,583.5,574.45,582.2,580.455004,283314,4938,164451029,51589,18.21,9.05,6
20-Nov-18,577.8,577.8,562,563.5,568.3205323,582637,6571,331124570,124932,21.44,15.8,-14.3
21-Nov-18,563.5,563.5,550.7,552.55,554.7792553,563393,8098,312558749,106417,18.89,12.8,-10.95
22-Nov-18,553,554.7,539,539.95,545.2441794,726302,9580,396011938,155940,21.47,15.7,-13.05
26-Nov-18,543.2,544.95,522.1,531.1,530.5170849,818063,11240,433996398,101344,12.39,22.85,-12.1
27-Nov-18,530.7,530.85,513.25,522.1,520.5541929,1578427,16537,821656793,542339,34.36,17.6,-8.6
28-Nov-18,524.4,528.8,519.1,524,524.6821025,734699,8483,385483416,167083,22.74,9.7,-0.4
29-Nov-18,532.8,539,529.4,533.45,534.4633342,695893,9342,371929293,169964,24.42,9.6,0.65
30-Nov-18,536.4,536.5,525.85,530.25,530.7791694,744136,7366,394971888,101531,13.64,10.65,-6.15
03-Dec-18,541,552.5,536.05,537.2,541.4194714,883233,9165,478199544,110497,12.51,16.45,-3.8
04-Dec-18,533.9,540.45,531.75,538.3,536.5644988,453636,5192,243404973,81810,18.03,8.7,4.4
05-Dec-18,533.45,533.45,503.1,515.3,521.4311497,818980,8974,427041683,184381,22.51,30.35,-18.15
06-Dec-18,513.95,521.6,501.5,511.05,512.7084119,1288468,14639,660608382,73226,5.68,20.1,-2.9
07-Dec-18,511.75,514.85,501,507.9,507.6306169,745256,7920,378314763,79098,10.61,13.85,-3.85
10-Dec-18,500.8,508.9,497.25,502.05,503.9906684,433796,6087,218629136,60888,14.04,11.65,1.25
11-Dec-18,496.8,504.2,486.9,501.6,496.8617068,1234970,14185,613609302,320556,25.96,17.3,4.8
12-Dec-18,505.8,522.4,505.55,520.4,516.921137,741843,8194,383474327,88556,11.94,16.85,14.6
13-Dec-18,527.55,528,508.1,512.25,517.752579,707062,7373,366083174,100904,14.27,19.9,-15.3
14-Dec-18,510.9,517.9,506.55,513.4,513.113181,371953,4980,190853987,47852,12.87,11.35,2.5
17-Dec-18,515.9,524.1,515.9,523.05,521.1034195,389153,4648,202788959,76123,19.56,8.2,7.15
18-Dec-18,523.9,529,520.1,527,525.3486804,394559,5260,207281050,61680,15.63,8.9,3.1
19-Dec-18,526,532,525,526.8,528.3280397,394245,4514,208290688,51478,13.06,7,0.8
20-Dec-18,520.8,526.9,520,523.45,523.5165393,250192,3268,130979650,34266,13.7,6.9,2.65
21-Dec-18,523.8,532,518.4,520.1,524.4616706,505317,5687,265019398,69177,13.69,13.6,-3.7
24-Dec-18,519.9,520.7,512.2,514.4,516.6721776,610910,4677,315640200,276553,45.27,8.5,-5.5
26-Dec-18,509.8,517.9,505.15,513.65,509.8772765,466618,5179,237917915,106404,22.8,12.75,3.85
27-Dec-18,519,520.5,506.5,507.8,512.6735407,267675,3851,137229890,61121,22.83,14,-11.2
28-Dec-18,507.8,516.6,507.8,513.7,513.7529261,350721,4166,180183940,47567,13.56,8.8,5.9
31-Dec-18,518.5,525.2,516,521.85,522.3442967,471997,5724,246544941,93521,19.81,9.2,3.35
01-Jan-19,522.05,524.05,513.8,515.55,516.698226,404962,4405,209243147,79893,19.73,10.25,-6.5
02-Jan-19,506.95,507,491.55,493.85,499.7354441,977729,12685,488605836,302004,30.89,15.45,-13.1
03-Jan-19,493.85,493.85,480.1,481.05,485.8330468,1050414,13147,510325834,236323,22.5,13.75,-12.8
04-Jan-19,481.05,492.85,479.3,487.7,485.0611252,965265,12623,468212527,257958,26.72,13.55,6.65
07-Jan-19,495.3,500.9,484.35,485.95,492.7424195,613711,7370,302401443,91954,14.98,16.55,-9.35
08-Jan-19,486,493.4,484.1,491.35,489.2311937,490342,4944,239890602,194497,39.67,9.3,5.35
09-Jan-19,488.5,497.15,475.5,479.35,481.0687397,989646,13753,476087754,248800,25.14,21.65,-9.15
10-Jan-19,479.6,483.65,477.5,480.3,480.806175,585358,6273,281443741,183795,31.4,6.15,0.7
11-Jan-19,483,486,472.5,474.7,479.1820628,688724,7164,330024187,220352,31.99,13.5,-8.3
14-Jan-19,474.95,474.95,466.6,470.7,470.2925564,545129,5957,256370111,126663,23.24,8.35,-4.25
15-Jan-19,472.2,476.5,469.4,475.15,472.7905074,587448,5799,277739838,207156,35.26,7.1,2.95
16-Jan-19,477,479.85,473.1,474.45,475.921823,373243,4709,177634489,72487,19.42,6.75,-2.55
17-Jan-19,475.05,478.3,470,472.5,474.4530766,426791,4106,202492303,162388,38.05,8.3,-2.55
18-Jan-19,474,477.45,468.1,470.5,472.5504544,418487,4277,197756222,93549,22.35,9.35,-3.5
21-Jan-19,472.2,477.4,470.1,471.55,472.6187597,415402,4275,196326778,89664,21.58,7.3,-0.65
22-Jan-19,471,471,455.9,456.8,459.4489177,726984,8836,334012012,276796,38.07,15.1,-14.2
23-Jan-19,457.95,467.5,457,463.8,463.7334434,568821,6854,263781321,123403,21.69,10.5,5.85
24-Jan-19,465.45,465.5,457.2,460.8,460.5907704,436767,5227,201170849,95812,21.94,8.3,-4.65
25-Jan-19,461,465.7,451.35,452.65,457.4944754,400481,5100,183217845,93196,23.27,14.35,-8.35
28-Jan-19,453,453.8,443.15,445.65,447.1134595,356515,4440,159402655,69984,19.63,10.65,-7.35
29-Jan-19,444.5,452.05,442.1,444.75,447.0628646,351231,4386,157022337,82197,23.4,9.95,0.25
30-Jan-19,445,471.2,445,467.6,461.3723683,824928,10684,380598985,158191,19.18,26.2,22.6
31-Jan-19,472.5,478.1,467.55,475.95,474.0754123,579799,7695,274868450,114975,19.83,10.55,3.45
01-Feb-19,477,481.6,469.5,473.4,474.7737957,475747,5962,225872209,83440,17.54,12.1,-3.6
04-Feb-19,474,478.1,452.3,475.8,462.6485498,966871,9555,447321466,152232,15.74,25.8,1.8
05-Feb-19,476.25,477.5,459.55,464.75,468.9065828,481207,5759,225641130,64107,13.32,17.95,-11.5
06-Feb-19,465.9,486.9,463.85,484.4,478.5570783,619649,8658,296537415,136374,22.01,23.05,18.5
07-Feb-19,484,491,478,487.6,486.3165823,636340,6231,309462694,96034,15.09,13,3.6
08-Feb-19,482.25,487,466.8,469.55,477.4700959,527954,6833,252082247,88079,16.68,20.2,-12.7
11-Feb-19,472.65,485.8,460.5,480.4,475.1966884,1753942,18896,833467430,162329,9.26,25.3,7.75
12-Feb-19,479,496.95,476.6,487.95,489.4862384,1281351,13253,627203681,342118,26.7,20.35,8.95
13-Feb-19,490,493,481,483.4,486.5085931,496678,5822,241638115,60381,12.16,12,-6.6
14-Feb-19,481.25,485.95,475.5,482.5,480.6756155,463672,5296,222875824,61905,13.35,10.45,1.25
15-Feb-19,481.15,482.5,463.4,467.45,469.0272712,562792,6805,263964796,81391,14.46,19.1,-13.7
18-Feb-19,468.5,476.75,464.6,465.75,471.2564736,888610,5240,418763215,522245,58.77,12.15,-2.75
19-Feb-19,468,480.55,465.25,471.15,473.182904,453604,6033,214637658,38031,8.38,15.3,3.15
20-Feb-19,476.4,493.65,472.8,490.6,485.9939438,1082361,12158,526020891,163415,15.1,20.85,14.2
21-Feb-19,492.6,501.95,490.6,497.9,497.0312282,881928,9377,438345757,190235,21.57,11.35,5.3
22-Feb-19,496.2,503.7,492.4,501.95,498.6868433,577714,7078,288098371,49150,8.51,11.3,5.75
25-Feb-19,504,509.5,498.55,504.85,504.0582956,701854,7262,353775331,177180,25.24,10.95,0.85
26-Feb-19,496,507.85,491.7,504.15,500.89013,812378,6746,406912122,285065,35.09,16.15,8.15
