Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-Jun-17,533.55,546.8,530.3,544.35,540.4683791,916104,12311,495125244,96708,10.56,16.5,10.8
03-Jul-17,544.05,552.4,541.95,549.4,548.9260747,481716,6841,264426473,72749,15.1,10.45,5.35
04-Jul-17,550.05,554.35,544.35,546.35,548.4124249,410014,5342,224856772,62816,15.32,10,-3.7
05-Jul-17,545.9,552.35,545,549.75,547.0863009,1074914,8016,588070724,123638,11.5,7.35,3.85
06-Jul-17,550,557.45,549,554.35,554.1874344,460209,8834,255042045,127843,27.78,8.45,4.35
07-Jul-17,552.1,555,550.75,553.8,552.5421829,410937,6886,227060027,181710,44.22,4.25,1.7
10-Jul-17,555,560.5,549,559.2,555.5869068,1072569,15715,595905293,414955,38.69,11.5,4.2
11-Jul-17,559.25,561.95,555.25,557.05,558.1978801,633419,12571,353573143,194962,30.78,6.7,-2.2
12-Jul-17,560,561.95,555,558.85,558.3498211,479488,4814,267722039,166424,34.71,6.95,-1.15
13-Jul-17,564.95,565.9,560.05,563,563.4323753,1129986,5927,636670696,788416,69.77,5.85,-1.95
14-Jul-17,565.7,565.9,557.05,559.5,560.3209245,362135,4043,202911818,78143,21.58,8.85,-6.2
17-Jul-17,561,563,557.4,558.85,560.4768874,299253,3158,167724390,87969,29.4,5.6,-2.15
18-Jul-17,559,568,556.75,562.8,563.6535057,378393,5017,213282541,49999,13.21,11.25,3.8
19-Jul-17,563.4,572,563,571,568.7285614,359002,5701,204174691,61185,17.04,9,7.6
20-Jul-17,563,563.9,555.2,555.9,558.0685003,527881,5290,294593758,159757,30.26,8.7,-7.1
21-Jul-17,556,557.6,543.85,552.6,551.4464484,381361,4035,210300169,110110,28.87,13.75,-3.4
24-Jul-17,555,555,546.8,547.45,550.5984573,427419,5043,235336242,165316,38.68,8.2,-7.55
25-Jul-17,549.4,554.25,548.9,553.1,551.9466459,220658,3382,121791443,40572,18.39,5.35,3.7
26-Jul-17,555.55,566.8,554.95,565.4,563.9898999,393562,5471,221964993,77138,19.6,11.85,9.85
27-Jul-17,566.3,568.65,559,561,563.2254005,283664,4380,159766770,71641,25.26,9.65,-5.3
28-Jul-17,556.9,560,548.5,551.6,553.6621636,245983,2799,136191480,52594,21.38,11.5,-5.3
31-Jul-17,552,570.95,552,567.55,566.8229815,515692,7278,292306077,122436,23.74,18.95,15.55
01-Aug-17,569.1,575,568.55,572,571.6567794,1061067,6607,606566144,725718,68.4,6.45,2.9
02-Aug-17,574.8,575,565,567.95,568.8572961,326305,3371,185620980,74752,22.91,10,-6.85
03-Aug-17,566.15,568.45,558,559.55,561.2886626,246194,3417,138185901,39470,16.03,10.45,-6.6
04-Aug-17,559.95,579.5,559.05,575.5,569.4547793,489521,7509,278760073,150401,30.72,20.45,15.55
07-Aug-17,584,601.5,583.5,600,596.1950837,1177889,12314,702251631,365164,31,18,16
08-Aug-17,611,624.95,605.5,615.75,619.2226082,1474285,21988,912910603,251355,17.05,19.45,4.75
09-Aug-17,615.8,619.9,602.65,605,609.9599978,600042,6894,366001617,105026,17.5,17.25,-10.8
10-Aug-17,602.35,614.4,598,604.55,607.1280198,647892,7423,393353387,97113,14.99,16.4,2.2
11-Aug-17,600,605,589.6,596.15,598.2035597,704953,8682,421705394,204818,29.05,15.4,-3.85
14-Aug-17,609,623.35,606.6,621.25,617.4769293,720675,9437,445000186,248196,34.44,16.75,12.25
16-Aug-17,625.15,630.8,620.3,629.75,626.2980513,471902,6101,295551303,86256,18.28,10.5,4.6
17-Aug-17,631.7,636,624.2,625.85,630.596004,391687,5676,246996257,81246,20.74,11.8,-5.85
18-Aug-17,623.1,629,620.05,625.4,623.8885499,243176,3250,151714722,38695,15.91,8.95,2.3
21-Aug-17,630.05,638.55,620.15,621.95,631.2502019,414833,5355,261863415,56943,13.73,18.4,-8.1
22-Aug-17,630.1,633,614.7,619.3,620.5667672,394520,6101,244826001,114538,29.03,18.3,-10.8
23-Aug-17,622.5,635,616.2,633.4,624.6718532,369673,4785,230924318,97049,26.25,18.8,10.9
24-Aug-17,636,640,631,638.95,636.0281662,379001,6131,241055311,105969,27.96,9,2.95
28-Aug-17,639.05,642.4,632.2,636.7,636.0430114,478896,3429,304598454,33311,6.96,10.2,-2.35
29-Aug-17,630.3,640.35,628.3,630.15,634.3652557,237754,3490,150822877,39163,16.47,12.05,-0.15
30-Aug-17,631.25,641.25,631.25,638.65,637.5261153,373019,3981,237809354,111339,29.85,10,7.4
31-Aug-17,638.9,642.6,632.5,638,637.4428546,343580,4801,219012616,54181,15.77,10.1,-0.9
01-Sep-17,641,651.7,639.5,649.9,646.8559506,459377,6919,297150746,108648,23.65,12.2,8.9
04-Sep-17,649.85,651.35,641.8,646.1,647.0641482,268394,3181,173668135,48846,18.2,9.55,-3.75
05-Sep-17,647,654.6,646.25,651.05,650.4134573,470109,3130,305765220,77160,16.41,8.35,4.05
06-Sep-17,647,654.3,645.55,651.45,650.6898905,425008,4672,276548409,183067,43.07,8.75,4.45
07-Sep-17,655.9,656.5,650.4,654.55,653.2992552,492075,8246,321472231,238391,48.45,6.1,-1.35
08-Sep-17,655,663.5,651,655.5,660.3886551,813302,5308,537095414,104892,12.9,12.5,0.5
11-Sep-17,656,662.5,653.1,661.3,658.9418479,540909,6205,356427576,207061,38.28,9.4,5.3
12-Sep-17,675,692,674,683.15,685.2019094,620095,9463,424890278,109717,17.69,18,8.15
13-Sep-17,681,683.55,676,679.7,679.1156066,254648,3883,172935431,73740,28.96,7.55,-1.3
14-Sep-17,678.05,683.75,672.55,677.65,678.1757349,217976,3922,147826034,42329,19.42,11.2,-0.4
15-Sep-17,673.1,681.45,671.75,679.3,677.0313058,240818,4578,163041325,68664,28.51,9.7,6.2
18-Sep-17,673.55,679.65,670.8,673.05,674.6575975,290398,5085,195919217,114600,39.46,8.85,-0.5
19-Sep-17,670,681.5,670,676.55,676.0867885,226954,2723,153440601,52528,23.14,11.5,6.55
20-Sep-17,677.9,691.05,674.3,687.65,685.5770372,649972,8115,445605878,137278,21.12,16.75,9.75
21-Sep-17,694.8,696.55,681.5,686.85,689.236341,470807,6076,324497294,64690,13.74,15.05,-7.95
22-Sep-17,685.5,685.5,652.2,654.55,666.6682171,373434,5768,248956579,76576,20.51,33.3,-30.95
25-Sep-17,654.5,654.5,623,640.15,635.9523248,618351,6674,393241756,202558,32.76,31.5,-14.35
26-Sep-17,640.15,657,639.5,654.15,651.1993614,584752,5998,380790129,284177,48.6,17.5,14
27-Sep-17,659.8,661,643.55,648.35,649.2525994,395096,4586,256517105,62572,15.84,17.45,-11.45
28-Sep-17,650.35,656.4,643.25,649.95,649.5180915,281597,3513,182902346,51606,18.33,13.15,-0.4
29-Sep-17,651,656.5,648.9,651.05,652.8231159,147656,2341,96393250,24441,16.55,7.6,0.05
03-Oct-17,655.05,665,655.05,660.65,660.5625365,160962,2500,106325467,48831,30.34,9.95,5.6
04-Oct-17,657.15,662.5,654.25,658.7,659.3141244,272720,1775,179808148,162044,59.42,8.25,1.55
05-Oct-17,659,664.75,657.05,660.2,661.6217825,147127,1961,97342428,31040,21.1,7.7,1.2
06-Oct-17,664.9,693.9,664.05,691.4,685.131819,629841,8983,431524110,132496,21.04,29.85,26.5
09-Oct-17,692.2,703.85,692,697.15,698.3465438,305136,4471,213090671,58062,19.03,11.85,4.95
10-Oct-17,699.6,703.85,685.05,690.65,691.2802048,733235,4855,506870841,438405,59.79,18.8,-8.95
11-Oct-17,695,698.1,673.65,681,686.5097968,258911,3760,177744938,57532,22.22,24.45,-14
12-Oct-17,684.95,692.6,681.35,690.85,686.7629942,379286,4736,260479589,121488,32.03,11.25,5.9
13-Oct-17,695,715.9,695,710.6,706.4915741,936225,9800,661435074,456644,48.78,20.9,15.6
16-Oct-17,712.1,719.45,711.85,715.4,715.0286316,227371,3225,162576775,53205,23.4,7.6,3.3
17-Oct-17,713.6,717.45,708.4,712.45,712.0046927,311977,3641,222129088,113297,36.32,9.05,-1.15
18-Oct-17,714,717.9,707.1,709.35,710.9085153,216386,3503,153830650,73927,34.16,10.8,-4.65
19-Oct-17,708.5,711.45,701.3,704.4,706.5040471,54977,1000,38841473,19608,35.67,10.15,-4.1
23-Oct-17,708.2,713.5,704,711.35,709.7468335,203775,3173,144628661,58940,28.92,9.5,3.15
